# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 1000 bp upstream, 1000 bp downstream, 30000 bp max extension, curated regulatory domains included
A1BG	unnamed (+22875)
A2ML1	unnamed (+14095)
A3GALT2	unnamed (+5138), unnamed (+18474)
A4GALT	unnamed (+5070)
AAAS	unnamed (-3241), unnamed (+289), unnamed (+11354)
AACS	unnamed (+17839)
AADAC	unnamed (-25424)
AADACL4	unnamed (-15830), unnamed (-13413), unnamed (-7136), unnamed (-4133), unnamed (-127), unnamed (+13055), unnamed (+14694)
AAED1	unnamed (-27665), unnamed (+27123)
AAGAB	unnamed (+177)
AAK1	unnamed (-41)
AAMP	unnamed (-168), unnamed (+562)
AANAT	unnamed (+21886)
AAR2	unnamed (-63), unnamed (+28414)
AARS	unnamed (-104)
AARS2	unnamed (-20387), unnamed (-19388), unnamed (-16446)
AARSD1	unnamed (+71)
AASDHPPT	unnamed (-527), unnamed (+834)
AATF	unnamed (-69)
AATK	unnamed (-20374), unnamed (-6005)
AATK-AS1	unnamed (-4178)
ABCA1	unnamed (-31)
ABCA2	unnamed (+6009), unnamed (+17734), unnamed (+23286), unnamed (+29459)
ABCA3	unnamed (-235), unnamed (+1108)
ABCA7	unnamed (-1845), unnamed (-30), unnamed (+5084)
ABCA9	unnamed (+1077)
ABCB10	unnamed (-13747), unnamed (-8615), unnamed (+3345)
ABCB11	unnamed (-15546), unnamed (+18940)
ABCB6	unnamed (-113)
ABCB7	unnamed (+269)
ABCB8	unnamed (-1448), unnamed (-470), unnamed (+339)
ABCB9	unnamed (-11688), unnamed (+969)
ABCC1	unnamed (-10010), unnamed (+20816)
ABCC10	unnamed (-28900), unnamed (-179), unnamed (+1493)
ABCC11	unnamed (+8586)
ABCC2	unnamed (+28739)
ABCC3	unnamed (+6331)
ABCC4	unnamed (+2071), unnamed (+26941), unnamed (+27442), unnamed (+27725)
ABCC5	unnamed (+29663)
ABCC6	unnamed (-960), unnamed (+16175)
ABCC8	unnamed (+3636), unnamed (+13590)
ABCC9	unnamed (-2879)
ABCD1	unnamed (+18917)
ABCE1	unnamed (+363), unnamed (+876)
ABCF1	unnamed (+365)
ABCF2	unnamed (-191), unnamed (+19980)
ABCF3	unnamed (-98)
ABCG1	unnamed (+14573), unnamed (+16367)
ABCG2	unnamed (-120)
ABCG4	unnamed (-797), unnamed (+7286)
ABCG5	unnamed (+19831)
